dataset,format,file_gb,pipeline_reads_gb,cells,genes,molecules,browser_outcome,browser_process_s,browser_peak_gb,browser_genes_loaded,browser_error,server_outcome,server_process_s,server_peak_gb,server_tier,escalated_tier,escalated_process_s,escalated_peak_gb,upload_s,queue_s,fargate_usd,output_gb,s3_usd_month,merfisheyes_link
merscope__Mouse_receptors_rep1_1_210mb,merscope,0.205,0.205,78329,649,,ok,16.0,3.2,483,,ok,40.7,1.05,16GB,,,,4.0,36.3,0.0054,0.015,0.0004,https://dev.merfisheyes.com/viewer/ds_wUamfbkChx
merscope__Mouse_receptors_rep1_2_240mb,merscope,0.233,0.233,88884,649,,ok,17.7,3.81,483,,ok,45.1,1.23,16GB,,,,3.5,40.7,0.0057,0.017,0.0004,https://dev.merfisheyes.com/viewer/ds_lkM2tDhuOs
merscope__Mouse_receptors_rep1_3_220mb,merscope,0.222,0.222,84636,649,,ok,17.3,3.68,483,,ok,43.1,1.12,16GB,,,,3.4,36.4,0.0055,0.016,0.0004,https://dev.merfisheyes.com/viewer/ds_MHGAnHiEW5
merscope__Mouse_receptors_rep2_1_220mb,merscope,0.219,0.219,83461,649,,ok,16.7,3.64,483,,ok,45.0,1.1,16GB,,,,6.4,37.2,0.0058,0.017,0.0004,https://dev.merfisheyes.com/viewer/ds_Q6fTpT_T7_
merscope__Mouse_receptors_rep2_2_220mb,merscope,0.221,0.221,84172,649,,ok,17.1,3.61,483,,ok,42.0,1.12,16GB,,,,4.0,28.6,0.0056,0.016,0.0004,https://dev.merfisheyes.com/viewer/ds_TmyeETCg8d
merscope__Mouse_receptors_rep2_3_230mb,merscope,0.226,0.226,85958,649,,ok,16.6,3.72,483,,ok,44.9,1.14,16GB,,,,4.7,30.8,0.0057,0.017,0.0004,https://dev.merfisheyes.com/viewer/ds_mhivnJq6fv
merscope__Mouse_receptors_rep3_1_190mb,merscope,0.186,0.186,70844,649,,ok,14.3,3.26,483,,ok,35.6,0.97,16GB,,,,6.8,40.1,0.0069,0.013,0.0003,https://dev.merfisheyes.com/viewer/ds_XcCNMiwG7W
merscope__Mouse_receptors_rep3_2_220mb,merscope,0.219,0.219,83461,649,,ok,17.1,3.61,483,,ok,44.6,1.11,16GB,,,,8.3,34.4,0.0057,0.017,0.0004,https://dev.merfisheyes.com/viewer/ds_rlQFQfiMbT
single-molecule__merscope-2g-ace-ear-nap-202204011403_2022040113532-csv,single-molecule,2.439,,,,32146915,timeout,,0.67,,locator.waitFor: Timeout 420000ms exceeded.,ok,178.3,5.91,16GB,,,,20.0,33.9,0.0152,0.183,0.0042,https://dev.merfisheyes.com/sm-viewer/sm_8VPiIq1FKm
single-molecule__merscope-5g-ace-dry-dog-csv,single-molecule,5.435,,,,69965035,timeout,,1.8,,locator.waitFor: Timeout 420000ms exceeded.,ok,391.6,13.72,16GB,,,,47.4,40.3,0.0306,0.393,0.009,https://dev.merfisheyes.com/sm-viewer/sm_0FEKDKnAJZ
single-molecule__merscope-800m-ace-dry-dog-csv,single-molecule,0.785,,,,10107749,timeout,,1.66,,locator.click: Timeout 420000ms exceeded.,ok,57.2,2.14,16GB,,,,6.2,42.3,0.0066,0.060,0.0014,https://dev.merfisheyes.com/sm-viewer/sm_WaUCMdyKlv
single-molecule__merscope-800m-ace-dry-dog-detected_transcripts2-csv,single-molecule,0.625,,,,8044719,timeout,,1.6,,locator.click: Timeout 420000ms exceeded.,ok,49.6,1.77,16GB,,,,6.0,42.9,0.0061,0.048,0.0011,https://dev.merfisheyes.com/sm-viewer/sm_FjNAvD7nD5
single-molecule__merscope-800m-ace-dry-dog-detected_transcripts3-csv,single-molecule,0.039,,,,499999,ok,3.1,1.01,300,,ok,2.2,0.25,16GB,,,,2.0,36.8,0.0033,0.003,0.0001,https://dev.merfisheyes.com/sm-viewer/sm_ASy9UTws-K
single-molecule__merscope-ed_lein_ace-irk-sag-csv,single-molecule,2.127,,,,26196203,timeout,,0.68,,locator.waitFor: Timeout 420000ms exceeded.,ok,142.0,5.36,16GB,,,,19.7,36.5,0.0128,0.155,0.0036,https://dev.merfisheyes.com/sm-viewer/sm_kOUJzo9K8P
single-molecule__merscope-ed_lein_ace-irk-sag-H22-30-001-CX-13-01-0-csv,single-molecule,1.53,,,,18644913,timeout,,3.01,,locator.click: Timeout 420000ms exceeded.,ok,92.4,3.96,16GB,,,,12.9,34.8,0.0097,0.110,0.0025,https://dev.merfisheyes.com/sm-viewer/sm_sINl6zARNE
single-molecule__xenium-Human_Lung_Cancer_FFPE-parquet,single-molecule,0.332,,,,32073729,ok,55.5,5.37,289,,ok,46.8,2.99,16GB,,,,3.4,40.4,0.0057,0.235,0.0054,https://dev.merfisheyes.com/sm-viewer/sm_56lgqHYyml
single-molecule__xenium-Human_Lymph_Node-parquet,single-molecule,2.776,,,,232650139,failed,,0.81,,"app reported: Failed to process data: The requested file could not be read, typically due to permission problems that ha",oom,12.8,,16GB,32GB,347.1,20.8,35.6,166.1,0.067,1.747,0.0402,https://dev.merfisheyes.com/sm-viewer/sm_BdIH7B0HMj
single-molecule__xenium-Human_Melanoma_10gb-csv,single-molecule,1.934,,,,23390260,timeout,,4.28,,locator.click: Timeout 420000ms exceeded.,ok,32.9,4.39,16GB,,,,14.8,36.8,0.0055,0.177,0.0041,https://dev.merfisheyes.com/sm-viewer/sm_zG2rGU7uAc
single-molecule__xenium-Human_Melanoma_10gb-parquet,single-molecule,0.393,,,,23651907,ok,39.3,4.54,282,,ok,34.6,2.32,16GB,,,,3.7,37.9,0.0051,0.177,0.0041,https://dev.merfisheyes.com/sm-viewer/sm_r6UKM-mxjn
single-molecule__xenium-Human_Renal_Carcinoma_50gb-parquet,single-molecule,0.954,,,,77056936,oom,,7.35,,page.waitForURL: Navigation failed because page crashed!,ok,117.8,7.16,16GB,,,,9.2,37.8,0.0106,0.547,0.0126,https://dev.merfisheyes.com/sm-viewer/sm_CcUWuqEV-R
single-molecule__xenium-Whole_mouse_pup_65gb-parquet,single-molecule,8.005,,,,669251333,failed,,0.88,,"app reported: Failed to process data: The requested file could not be read, typically due to permission problems that ha",oom,0.0,,16GB,64GB,810.4,59.44,67.6,207.3,0.2825,4.895,0.1126,https://dev.merfisheyes.com/sm-viewer/sm_Xl7SSpMvRb
