ace-can-ill	NELL2
ace-can-ill	LRRC9
ace-can-ill	FN1
ace-can-ill	CFAP43
ace-can-ill	SULF1
ace-can-ill	TAC3
ace-can-ill	RARB
ace-can-ill	SYNPR
ace-can-ill	CADPS2
ace-can-ill	CNTNAP2
ace-can-ill	ARMC3
ace-can-ill	CENPF
ace-can-ill	GPR39
ace-can-ill	SPATA17
ace-can-ill	RNF220
ace-can-ill	SULF2
ace-can-ill	EVA1C
ace-can-ill	GPR17
ace-can-ill	ZIC1
ace-can-ill	ABCB1
ace-can-ill	FYB2
ace-can-ill	LRIG1
ace-can-ill	MLIP
ace-can-ill	CDH12
ace-can-ill	FAM160A1
ace-can-ill	CCSER1
ace-can-ill	LINC02147
ace-can-ill	INPP4B
ace-can-ill	CDH18
ace-can-ill	CXCL14
ace-can-ill	RALYL
ace-can-ill	ANGPT1
ace-can-ill	FBXO32
ace-can-ill	POU6F2
ace-can-ill	EBF2
ace-can-ill	MAML2
ace-can-ill	KIRREL3
ace-can-ill	TNC
ace-can-ill	DOCK10
ace-can-ill	CCDC175
ace-can-ill	RIPOR2
ace-can-ill	ST8SIA5
ace-can-ill	PLS3
ace-can-ill	LINC01965
ace-can-ill	LINC00609
ace-can-ill	LINC01619
ace-can-ill	HOPX
ace-can-ill	DPF3
ace-can-ill	TSHR
ace-can-ill	CA10
ace-can-ill	SPON1
ace-can-ill	RBFOX3
ace-can-ill	CBLN2
ace-can-ill	KCNQ1OT1
ace-can-ill	ZFP36
ace-can-ill	NXPH1
ace-can-ill	OBI1-AS1
ace-can-ill	FAM106A
ace-can-ill	NEFL
ace-can-ill	LRMDA
ace-can-ill	CNTNAP4
ace-can-ill	OPCML
ace-can-ill	DACH1
ace-can-ill	LHX1
ace-can-ill	SATB2
ace-can-ill	AGBL1
ace-can-ill	FLT1
ace-can-ill	EOGT
ace-can-ill	NEAT1
ace-can-ill	SP8
ace-can-ill	CLDN5
ace-can-ill	PCDH15
ace-can-ill	PCSK6
ace-can-ill	NR2F2-AS1
ace-can-ill	PLP1
ace-can-ill	LHX1-DT
ace-can-ill	DISC1
ace-can-ill	SORCS1
ace-can-ill	LIPG
ace-can-ill	ISG15
ace-can-ill	LINC01170
ace-can-ill	SATB1-AS1
ace-can-ill	CFAP54
ace-can-ill	RMST
ace-can-ill	NOTCH1
ace-can-ill	Blank-1
ace-can-ill	Blank-2
ace-can-ill	Blank-3
ace-can-ill	Blank-4
ace-can-ill	Blank-5
ace-can-ill	Blank-6
ace-can-ill	Blank-7
ace-can-ill	Blank-8
ace-can-ill	Blank-9
ace-can-ill	Blank-10
ace-can-ill	Blank-11
ace-can-ill	Blank-12
ace-can-ill	Blank-13
ace-can-ill	Blank-14
ace-can-ill	Blank-15
ace-can-imp	TFAP2C
ace-can-imp	HGF
ace-can-imp	NAMPT
ace-can-imp	VIM
ace-can-imp	CD38
ace-can-imp	CRYAB
ace-can-imp	CDH9
ace-can-imp	HES1
ace-can-imp	IGFBP5
ace-can-imp	DLX2
ace-can-imp	TTR
ace-can-imp	PDGFRA
ace-can-imp	BRIP1
ace-can-imp	KIF11
ace-can-imp	TRHDE
ace-can-imp	PROX1
ace-can-imp	CUX2
ace-can-imp	THSD4
ace-can-imp	MOB3B
ace-can-imp	FBN2
ace-can-imp	CDH20
ace-can-imp	PALMD
ace-can-imp	CD44
ace-can-imp	DGKD
ace-can-imp	SEMA3C
ace-can-imp	RUNX1T1
ace-can-imp	SLCO1C1
